Place Name,Latitude,Longitude,Interest
Lucknow Sikandar Bagh,26.8484,80.9455, Historical
Khajuraho Javari Temple,24.8477,79.9241, Religious
Goa Arvalem Caves,15.5718,73.8158, Historical
Lucknow Chandrika Devi Temple,26.8135,80.8991, Religious
Shimla Kalka-Shimla Railway,30.8602,77.8817, Historical
Delhi National Rail Museum,28.5841,77.1796, Museum
Shillong Mawlynnong Village,25.0989,91.582, Village
Khajuraho Vishwanath Temple,24.8509,79.9175, Religious
Goa Se Cathedral,15.5052,73.9114, Religious
Lucknow Shaheed Smarak,26.8413,80.9392, Historical
Shimla Glen Forest,31.1048,77.1734, Nature
Rishikesh Gita Bhavan,30.1091,78.3187, Religious
Delhi Jhilmil DDA Park,28.659,77.3071, Park
Goa Cabo de Rama Fort,15.1251,73.9257, Historical
Pune Osho Garden,18.5267,73.9022, Spiritual
Shimla Scandal Point,31.1048,77.1734, Historical
Delhi Swaminarayan Akshardham,28.6127,77.2773, Religious
Shillong Mary Help of Christians Cathedral,25.5761,91.8654, Religious
Pune Vetal Hill,18.5226,73.8122, Trekking
Lucknow Nawab Wajid Ali Shah Zoological Garden,26.8784,80.9194, Wildlife
Delhi Agrasen ki Baoli,28.6262,77.2243, Historical
Shimla Himalayan Bird Park,31.1048,77.1734, Wildlife
Pune Mulshi Lake and Dam,18.6554,73.4645, Scenic
Munnar Top Station,10.0602,77.2733, Scenic
Rishikesh Bharat Mandir,30.1192,78.3176, Religious
Agra Chini Ka Rauza,27.1763,78.0231, Historical
Varanasi Banaras Hindu University,25.2678,82.9909, Educational
Lucknow Nawabganj Bird Sanctuary,26.9866,80.9694, Wildlife
Kolkata Rabindra Sarobar,22.5173,88.3407, Recreation
Jaipur Jal Mahal,26.9531,75.8521, Historical
Pondicherry Serenity Beach,11.9552,79.8414, Beach
Mysore Jaganmohan Palace Art Gallery and Auditorium,12.302,76.6514, Museum
Shillong Nohkalikai Falls,25.2976,91.5823, Waterfall
Kolkata James Prinsep Ghat,22.5545,88.3452, Scenic
Kolkata Botanical Survey of India,22.5417,88.3461, Science and Technology
Goa Cabo Palace,15.5056,73.9124, Historical
Lucknow Begum Hazrat Mahal Park,26.8531,80.9402, Park
Shimla Craignano Nature Park,31.0702,77.2676, Nature
Rishikesh Kunjapuri Devi Temple,30.1778,78.3879, Religious
Delhi National Science Centre,28.61,77.2425, Science and Technology
Jaipur Jhalana Leopard Safari,26.8965,75.8278, Wildlife
Kolkata Millennium Science Park,22.6197,88.3963, Science and Technology
Puri Narendra Sagar,19.8025,85.8228, Scenic
Shillong Elephant's Falls,25.2198,91.7456, Waterfall
Rishikesh Swarg Niwas Temple,30.1083,78.3153, Religious
Kolkata National Medical College and Hospital,22.5476,88.3468, Educational
Lucknow Dilkusha Kothi,26.8574,80.9238, Historical
Khajuraho State Museum,24.8534,79.9232, Museum
Goa Betalbatim Beach,15.2993,73.9217, Beach
Pune Shaniwar Wada Palace,18.5196,73.8553, Historical
Lucknow Chattar Manzil,26.8603,80.9142, Historical
Shimla Indian Institute of Advanced Study,31.1048,77.1734, Educational
Rishikesh Kaudiyala,30.0682,78.461, Adventure
Delhi Shankar's International Dolls Museum,28.6146,77.1944, Museum
Shillong Butterfly Museum,25.5793,91.8777, Museum
Khajuraho Chitragupta Temple,24.8511,79.9203, Religious
Goa Vagator Beach,15.5524,73.7415, Beach
Pune Sinhagad Fort,18.3644,73.7552, Historical
Shimla Ridge,31.1048,77.1734, Scenic
Delhi National Gallery of Modern Art,28.6129,77.2295, Museum
Lucknow Nawabganj Bird Sanctuary,26.9672,80.9639, Wildlife
Delhi Shri Digambar Jain Lal Mandir,28.6489,77.2335, Religious
Shimla Chadwick Falls,31.1062,77.1761, Waterfall
Pune Okayama Friendship Garden,18.5505,73.8676, Gardens
Munnar Marayoor Dolmens,10.2064,77.1603, Historical
Rishikesh Trayambakeshwar Temple,30.1073,78.3196, Religious
Agra Moti Masjid,27.1751,78.0228, Religious
Varanasi Ramnagar Fort,25.3129,83.0014, Historical
Lucknow Ram Manohar Lohia Park,26.8385,80.9463, Park
Kolkata South Park Street Cemetery,22.5466,88.3593, Historical
Jaipur Bapu Bazaar,26.916,75.8117, Shopping
Pondicherry Immaculate Conception Cathedral,11.9328,79.8303, Religious
Mysore Melody World Wax Museum,12.3304,76.6239, Museum
Kolkata BBD Bagh (Dalhousie Square),22.5736,88.3473, Historical
Kolkata Alipore Zoological Gardens,22.5315,88.3388, Zoo
Khajuraho Vamana Temple,24.8564,79.9246, Religious
Pune Tribal Museum,18.5231,73.8524, Museum
Jaipur Ram Niwas Garden,26.9146,75.8184, Gardens
Kolkata Quest Mall,22.5334,88.3661, Shopping
Kolkata Rabindra Sarovar,22.5155,88.3424, Recreation
Lucknow Gomti Nagar Park,26.8616,80.9607, Park
Goa Butterfly Conservatory Of Goa,15.3869,73.8755, Nature
Pune Joshi's Museum of Miniature Railway,18.5279,73.8455, Museum
Lucknow Hazratganj,26.8474,80.9468, Shopping
Delhi National Police Memorial,28.5589,77.1583, Memorial
Shillong All Saints' Cathedral,25.5682,91.8711, Religious
Khajuraho Vaman Temple,24.8564,79.9246, Religious
Goa Butterfly Beach,15.0317,73.9861, Beach
Shimla Jakhoo Temple,31.1052,77.1737, Religious
Goa Three Kings Church,15.0244,73.9682, Historical
Lucknow Anandi Water Park,26.8996,80.9076, Amusement Park
Shimla Shaily Peak,31.1048,77.1734, Trekking
Delhi India Habitat Centre,28.5859,77.2275, Cultural
Goa Anjuna Flea Market,15.5524,73.7415, Shopping
Pune Chaturshringi Temple,18.5318,73.8327, Religious
Delhi Khooni Darwaza,28.6326,77.2422, Historical
Shillong Mawphlang Sacred Forest,25.5185,91.9005, Nature
Shimla Tatta Pani,31.1048,77.1734, Hot Springs
Goa Palolem Beach,15.0085,74.021, Beach
Pune Rajiv Gandhi Zoological Park,18.3652,73.764, Zoo
Shimla Advanced Studies,31.1065,77.1732, Educational
Delhi Humayun's Tomb,28.5933,77.2507, Historical
Pune Mulshi Lake,18.626,73.3895, Scenic
Munnar Attukal Waterfalls,10.1264,77.0574, Waterfall
Rishikesh Vashishta Gufa,30.1142,78.3032, Spiritual
Agra Jama Masjid,27.1767,78.0236, Religious
Varanasi Assi Ghat,25.2882,83.005, Spiritual
Lucknow Ambedkar Memorial Park,26.8536,80.9763, Park
Kolkata Science City,22.5394,88.3965, Science and Technology
Pondicherry Paradise Beach,11.8789,79.8286, Beach
Mysore Karanji Lake,12.3023,76.6621, Nature
Shillong David Scott Trail,25.4485,91.8917, Trekking
Kolkata Victoria Memorial,22.5448,88.3425, Historical
Kolkata Indian Museum,22.557,88.3522, Museum
Goa Anjuna Beach,15.5518,73.7418, Beach
Pune Aga Khan Palace,18.5635,73.7387, Historical
Lucknow Hazratganj,26.8494,80.9495, Shopping
Rishikesh Neelkanth Mahadev Temple,30.0752,78.276, Religious
Jaipur Jaigarh Fort,26.9855,75.8498, Historical
Kolkata Marble Palace,22.594,88.3653, Historical
Puri Chilika Lake,19.695,85.3319, Scenic
Lucknow Indira Gandhi Planetarium,26.8807,80.9506, Science and Technology
Khajuraho Kamasutra Temples,24.8511,79.9186, Historical
Goa Basilica of Bom Jesus,15.5014,73.911, Religious
Lucknow Chota Imambara,26.86,80.9396, Religious
Delhi Hauz Khas Village,28.5494,77.2001, Cultural
Shillong Crinoline Falls,25.5742,91.8768, Waterfall
Khajuraho Lakshmana Temple,24.8508,79.9212, Religious
Goa Fort Aguada,15.4983,73.7492, Historical
Pune Lohagad Fort,18.6908,73.5342, Historical
Lucknow Bara Imambara,26.8806,80.9055, Historical
Shimla Kuthar Fort,31.1941,77.1729, Historical
Rishikesh Neer Garh Waterfall,30.0925,78.3206, Waterfall
Shillong Sweet Falls,25.5545,91.8631, Waterfall
Khajuraho Chaturbhuj Temple,24.8552,79.9197, Religious
Lucknow British Residency,26.8626,80.9451, Historical
Rishikesh Triveni Ghat,30.1146,78.3145, Religious
Shillong Don Bosco Museum,25.5995,91.8687, Museum
Khajuraho Parshvanatha Temple,24.8534,79.9232, Religious
Goa Calangute Beach,15.5549,73.7512, Beach
Pune Saras Baug,18.5055,73.8561, Park
